Time,Iteration,Cost,Parameters
  3.02289427  2.14236749  1.01934418 -0.97536884]
Sat Aug 24 21:20:57 2024,110,0.19824015392703298,[-1.57482794  2.15391971 -2.10216004 -0.03005233  0.43891693 -2.6666315
  3.02067434  2.14014755  1.01712425 -0.97314891]
Sat Aug 24 21:22:42 2024,111,0.20227225091833292,[-1.57391075  2.1548369  -2.10307723 -0.02913514  0.43983412 -2.66754869
  3.02159153  2.13923037  1.01804143 -0.97223172]
Sat Aug 24 21:24:27 2024,112,0.20957561407431483,[-1.57319754  2.15412369 -2.10379044 -0.02842193  0.44054733 -2.66683549
  3.02087832  2.13851716  1.01875464 -0.97294493]
Sat Aug 24 21:26:12 2024,113,0.20697689234983993,[-1.57180874  2.15273489 -2.10240163 -0.02981074  0.44193613 -2.66544668
  3.01948951  2.13990596  1.02014345 -0.97433373]
Sat Aug 24 21:27:57 2024,114,0.20390088787754848,[-1.57138984  2.15231599 -2.10198274 -0.03022963  0.44235503 -2.66586557
  3.01907062  2.13948707  1.02056234 -0.97391484]
Sat Aug 24 21:29:42 2024,115,0.21523240182746892,[-1.56952375  2.1504499  -2.10011664 -0.03209573  0.44422112 -2.66773167
  3.01720452  2.13762097  1.01869625 -0.97578094]
Sat Aug 24 21:31:28 2024,116,0.20734240812681737,[-1.56731727  2.14824342 -2.09791016 -0.02988925  0.44642761 -2.66993815
  3.019411    2.13541449  1.02090273 -0.97798742]
Sat Aug 24 21:33:13 2024,117,0.20724778265595423,[-1.56556013  2.14648628 -2.09966729 -0.02813211  0.44818474 -2.66818101
  3.02116814  2.13717163  1.02265986 -0.97623028]
Sat Aug 24 21:34:57 2024,118,0.2058115794460713,[-1.56498004  2.14590619 -2.0990872  -0.02871221  0.44760465 -2.66760092
  3.02058804  2.13775172  1.02207977 -0.97565019]
Sat Aug 24 21:36:41 2024,119,0.20941860268115628,[-1.56359554  2.14452169 -2.1004717  -0.02732771  0.44622015 -2.66898542
  3.02197254  2.13913622  1.02346427 -0.97426569]
Sat Aug 24 21:38:26 2024,120,0.20886185148066663,[-1.56293533  2.14386148 -2.10113191 -0.02798792  0.44555994 -2.66964563
  3.02131233  2.13847601  1.02280406 -0.97360548]
Sat Aug 24 21:40:10 2024,121,0.21032728901088668,[-1.56179277  2.14500405 -2.09998934 -0.02913049  0.44670251 -2.6707882
  3.02016976  2.13961857  1.02394662 -0.97474805]
Sat Aug 24 21:41:54 2024,122,0.2068786862715683,[-1.56076468  2.14397597 -2.10101742 -0.03015857  0.44773059 -2.67181628
  3.02119784  2.14064665  1.02291854 -0.97371997]
Sat Aug 24 21:43:39 2024,123,0.20941464650001557,[-1.55938422  2.1425955  -2.10239789 -0.03153904  0.44635012 -2.67043581
  3.01981738  2.13926619  1.02153807 -0.9723395 ]
Sat Aug 24 21:45:23 2024,124,0.204330386029081,[-1.55854255  2.14343716 -2.10155623 -0.03069737  0.44719178 -2.66959414
  3.02065904  2.13842452  1.02237974 -0.97149783]
Sat Aug 24 21:47:08 2024,125,0.2112526709081171,[-1.55735686  2.14462285 -2.10037054 -0.02951168  0.44837747 -2.67077984
  3.01947335  2.13723883  1.02119404 -0.97268353]
Sat Aug 24 21:48:53 2024,126,0.2102008266221824,[-1.55638005  2.14364605 -2.10134734 -0.03048849  0.44740067 -2.66980303
  3.02045015  2.13626202  1.02217085 -0.97366033]
Sat Aug 24 21:50:38 2024,127,0.21025109257959565,[-1.55619042  2.14345641 -2.10115771 -0.03067812  0.4475903  -2.66961339
  3.02063979  2.13645166  1.02236049 -0.9734707 ]
