Time,Iteration,Cost,Parameters
Sun Aug 25 00:25:52 2024,134,0.16070155567692282,[-1.44427069  2.36317884 -2.14844135 -0.15125873  0.53277454]
Sun Aug 25 00:26:49 2024,135,0.16524433903815233,[-1.44374738  2.36265554 -2.14791805 -0.15178203  0.53225124]
Sun Aug 25 00:27:45 2024,136,0.1566253270303156,[-1.44291727  2.36348565 -2.14708794 -0.15261214  0.53308135]
Sun Aug 25 00:28:42 2024,137,0.159422496873528,[-1.44207499  2.36432793 -2.14624566 -0.15176986  0.53223907]
Sun Aug 25 00:29:38 2024,138,0.16041806483076926,[-1.44169089  2.36471204 -2.14662977 -0.15215396  0.53185496]
Sun Aug 25 00:30:34 2024,139,0.16408690797140452,[-1.44079314  2.36381429 -2.14752752 -0.15305171  0.53275271]
Sun Aug 25 00:31:31 2024,140,0.16012444704123063,[-1.43983171  2.36285286 -2.14848895 -0.15209028  0.53371414]
Sun Aug 25 00:32:27 2024,141,0.15780537482934723,[-1.43884882  2.36383575 -2.14947183 -0.15307317  0.53273126]
Sun Aug 25 00:33:24 2024,142,0.16052613600228333,[-1.43802574  2.36465883 -2.15029492 -0.15225009  0.53190817]
Sun Aug 25 00:34:20 2024,143,0.16411606202360968,[-1.43717591  2.36550866 -2.15114475 -0.15140026  0.53105834]
Sun Aug 25 00:35:17 2024,144,0.16272608022008475,[-1.43629805  2.36463081 -2.1520226  -0.1505224   0.5319362 ]
Sun Aug 25 00:36:14 2024,145,0.16351545442166726,[-1.43633403  2.36466679 -2.15205858 -0.15048642  0.53197218]
Sun Aug 25 00:37:11 2024,146,0.1631747645409408,[-1.4357988   2.36520203 -2.15259382 -0.14995118  0.53143694]
Sun Aug 25 00:38:07 2024,147,0.16081390317798192,[-1.43598267  2.36501816 -2.15277769 -0.15013505  0.53162081]
Sun Aug 25 00:39:04 2024,148,0.16011122315166046,[-1.43528146  2.36571936 -2.15207649 -0.15083626  0.53091961]
Sun Aug 25 00:40:00 2024,149,0.16265023736690004,[-1.43489304  2.36533094 -2.15246491 -0.15044783  0.53130803]
Sun Aug 25 00:40:56 2024,150,0.1612774141982444,[-1.43468299  2.36554099 -2.15267496 -0.15023778  0.53109798]
Sun Aug 25 00:41:53 2024,151,0.1617999389075283,[-1.43411942  2.36497742 -2.15211139 -0.14967421  0.53166155]
Sun Aug 25 00:42:50 2024,152,0.15571393196941735,[-1.43279013  2.36364813 -2.15344068 -0.1510035   0.53033226]
Sun Aug 25 00:43:46 2024,153,0.16366964416616062,[-1.43215896  2.3642793  -2.15407185 -0.15037234  0.52970109]
Sun Aug 25 00:44:43 2024,154,0.1609446280989309,[-1.43151979  2.36364013 -2.15471102 -0.15101151  0.53034026]
Sun Aug 25 00:45:40 2024,155,0.15942823924210928,[-1.43096592  2.364194   -2.15415714 -0.15045763  0.53089414]
