Time,Iteration,Cost,Parameters
Sun Aug 25 02:31:41 2024,90,0.37192920534380336,[-2.4858499   2.19738539 -2.26312075 -0.16165048  0.51854457 -2.81161561
  3.10112843  2.06373578  1.16406287 -1.12492456]
Sun Aug 25 02:33:29 2024,91,0.3702201248605068,[-2.4788249   2.20441038 -2.25609575 -0.15462549  0.52556957 -2.8186406
  3.09410343  2.05671079  1.17108787 -1.11789957]
Sun Aug 25 02:35:18 2024,92,0.36587811152676575,[-2.47221448  2.21102081 -2.26270618 -0.14801507  0.53217999 -2.82525103
  3.10071386  2.05010036  1.16447744 -1.12450999]
Sun Aug 25 02:37:06 2024,93,0.3681467532502976,[-2.46518083  2.21805446 -2.26973983 -0.14098141  0.52514634 -2.83228468
  3.10774751  2.05713402  1.15744379 -1.11747634]
Sun Aug 25 02:38:54 2024,94,0.36807938729245915,[-2.45771829  2.21059193 -2.27720236 -0.14844394  0.53260887 -2.82482215
  3.11521004  2.04967148  1.16490632 -1.12493887]
Sun Aug 25 02:40:43 2024,95,0.3684272323889911,[-2.4498724   2.21843782 -2.28504825 -0.15628983  0.52476298 -2.81697626
  3.12305593  2.05751737  1.15706043 -1.13278476]
Sun Aug 25 02:42:32 2024,96,0.35649648139664797,[-2.44206353  2.22624669 -2.27723938 -0.1640987   0.51695411 -2.80916739
  3.11524706  2.0497085   1.1648693  -1.12497589]
Sun Aug 25 02:44:22 2024,97,0.3652568019502388,[-2.43564452  2.21982768 -2.2836584  -0.15767969  0.52337312 -2.80274837
  3.12166608  2.05612752  1.15845029 -1.1313949 ]
Sun Aug 25 02:46:11 2024,98,0.36237469287384266,[-2.42862772  2.22684448 -2.2766416  -0.16469649  0.53038992 -2.80976517
  3.11464928  2.04911072  1.15143349 -1.1384117 ]
Sun Aug 25 02:48:00 2024,99,0.3586713942555518,[-2.42106338  2.21928013 -2.28420594 -0.17226083  0.52282558 -2.80220083
  3.12221362  2.04154637  1.14386914 -1.14597605]
Sun Aug 25 02:49:49 2024,100,0.3556803380717227,[-2.41367151  2.21188827 -2.27681408 -0.1796527   0.51543372 -2.80959269
  3.11482176  2.03415451  1.13647728 -1.15336791]
Sun Aug 25 02:51:37 2024,101,0.3536595712940947,[-2.4060684   2.20428516 -2.28441719 -0.18725581  0.50783061 -2.8171958
  3.10721865  2.04175762  1.14408039 -1.16097102]
Sun Aug 25 02:53:26 2024,102,0.354464361855069,[-2.39842032  2.19663707 -2.29206528 -0.17960772  0.50018252 -2.82484389
  3.09957056  2.03410953  1.15172848 -1.15332293]
Sun Aug 25 02:55:14 2024,103,0.35053278614666633,[-2.39040909  2.2046483  -2.3000765  -0.1715965   0.49217129 -2.83285511
  3.09155934  2.02609831  1.14371726 -1.14531171]
Sun Aug 25 02:57:02 2024,104,0.3503908367672545,[-2.3818031   2.21325429 -2.2914705  -0.18020249  0.4835653  -2.84146111
  3.08295334  2.01749231  1.13511126 -1.15391771]
Sun Aug 25 02:58:50 2024,105,0.34709694682257947,[-2.37381993  2.22123746 -2.28348733 -0.18818566  0.47558213 -2.84944428
  3.07497017  2.02547548  1.14309442 -1.14593454]
Sun Aug 25 03:00:39 2024,106,0.3447258631387534,[-2.36629071  2.21370824 -2.27595812 -0.18065644  0.48311135 -2.84191506
  3.08249939  2.01794626  1.1355652  -1.15346376]
Sun Aug 25 03:02:28 2024,107,0.3443333331498598,[-2.35810744  2.22189151 -2.26777485 -0.17247317  0.49129462 -2.83373179
  3.07431612  2.00976299  1.14374847 -1.14528049]
Sun Aug 25 03:04:16 2024,108,0.3425367303441132,[-2.35008277  2.22991618 -2.25975017 -0.18049785  0.48326995 -2.84175646
  3.06629145  2.00173832  1.15177315 -1.15330516]
Sun Aug 25 03:06:04 2024,109,0.34175232337346056,[-2.34256402  2.22239744 -2.25223143 -0.1729791   0.49078869 -2.83423772
  3.05877271  2.00925706  1.1442544  -1.16082391]
Sun Aug 25 03:07:53 2024,110,0.3397617817887186,[-2.33484017  2.23012129 -2.24450758 -0.18070295  0.48306484 -2.84196157
  3.06649656  2.00153321  1.15197826 -1.16854776]
Sun Aug 25 03:09:41 2024,111,0.3328865794079374,[-2.32678188  2.23817958 -2.23644929 -0.18876124  0.49112313 -2.85001986
  3.05843827  2.0095915   1.14391997 -1.17660605]
Sun Aug 25 03:11:29 2024,112,0.333865220802155,[-2.31920967  2.24575179 -2.2440215  -0.19633346  0.49869534 -2.84244765
  3.06601048  2.00201929  1.15149218 -1.16903384]
Sun Aug 25 03:13:17 2024,113,0.3309417803520134,[-2.31156939  2.25339207 -2.23638122 -0.20397374  0.49105506 -2.83480737
  3.0583702   2.00965957  1.1438519  -1.16139356]
Sun Aug 25 03:15:05 2024,114,0.3330268436862209,[-2.30371001  2.24553269 -2.22852184 -0.21183312  0.48319568 -2.84266675
  3.05051082  2.01751895  1.15171128 -1.15353418]
Sun Aug 25 03:16:54 2024,115,0.33152516986849084,[-2.29649745  2.23832013 -2.2357344  -0.21904568  0.49040824 -2.83545419
  3.05772338  2.01030639  1.15892384 -1.14632162]
Sun Aug 25 03:18:42 2024,116,0.3275239610386956,[-2.28939683  2.24542075 -2.24283502 -0.21194506  0.48330762 -2.84255481
  3.05062277  2.017407    1.16602446 -1.139221  ]
Sun Aug 25 03:20:30 2024,117,0.32486929413054155,[-2.28139162  2.23741553 -2.2348298  -0.21995027  0.49131284 -2.83454959
  3.04261755  2.00940179  1.15801924 -1.13121579]
Sun Aug 25 03:22:19 2024,118,0.3205338069693721,[-2.27379596  2.24501119 -2.24242546 -0.21235461  0.4989085  -2.84214525
  3.03502189  2.01699745  1.15042358 -1.12362013]
Sun Aug 25 03:24:08 2024,119,0.32133268303875695,[-2.2667634   2.25204375 -2.24945802 -0.21938717  0.49187594 -2.8351127
  3.02798934  2.02403001  1.14339103 -1.11658757]
Sun Aug 25 03:25:57 2024,120,0.31973108129055333,[-2.25881277  2.24409312 -2.25740865 -0.21143654  0.49982657 -2.84306332
  3.03593996  2.03198064  1.1354404  -1.10863694]
Sun Aug 25 03:27:48 2024,121,0.3134719519075898,[-2.25017675  2.2354571  -2.24877263 -0.20280053  0.50846258 -2.85169934
  3.02730395  2.02334462  1.14407642 -1.11727296]
Sun Aug 25 03:29:38 2024,122,0.3169543856505037,[-2.24232988  2.24330398 -2.24092576 -0.2106474   0.51630946 -2.84385247
  3.01945707  2.03119149  1.15192329 -1.12511983]
Sun Aug 25 03:31:29 2024,123,0.31179203833984726,[-2.23419332  2.25144054 -2.24906232 -0.20251084  0.5081729  -2.83571591
  3.01132051  2.02305493  1.14378673 -1.13325639]
Sun Aug 25 03:33:19 2024,124,0.3094676423955529,[-2.22629597  2.24354319 -2.25695967 -0.21040819  0.50027555 -2.84361326
  3.01921786  2.01515758  1.15168408 -1.14115374]
Sun Aug 25 03:35:10 2024,125,0.30858082718048685,[-2.21886433  2.25097484 -2.24952802 -0.20297654  0.4928439  -2.83618161
  3.01178621  2.00772594  1.14425243 -1.1337221 ]
Sun Aug 25 03:37:00 2024,126,0.3057083434661939,[-2.21183183  2.24394234 -2.24249553 -0.21000903  0.4998764  -2.8432141
  3.00475372  2.00069345  1.13721994 -1.1266896 ]
Sun Aug 25 03:38:50 2024,127,0.30647274839638394,[-2.20386645  2.23597696 -2.25046091 -0.21797441  0.50784178 -2.83524872
  2.99678834  2.00865882  1.12925456 -1.11872422]
Sun Aug 25 03:40:41 2024,128,0.30281610741044357,[-2.19570645  2.22781696 -2.24230091 -0.20981441  0.49968178 -2.82708872
  3.00494834  2.00049883  1.13741456 -1.12688422]
Sun Aug 25 03:42:32 2024,129,0.30206807341424685,[-2.18843832  2.23508509 -2.24956904 -0.20254628  0.50694991 -2.83435685
  3.01221647  1.99323069  1.14468269 -1.11961609]
Sun Aug 25 03:44:22 2024,130,0.2965603602202253,[-2.18075798  2.22740475 -2.24188869 -0.19486593  0.49926956 -2.82667651
  3.00453612  2.00091104  1.15236304 -1.11193574]
Sun Aug 25 03:46:13 2024,131,0.2899445727525523,[-2.17319197  2.23497075 -2.24945469 -0.18729993  0.49170355 -2.83424251
  3.01210213  1.99334504  1.14479703 -1.10436974]
Sun Aug 25 03:48:03 2024,132,0.2904519400415384,[-2.16554457  2.22732335 -2.2571021  -0.19494733  0.48405615 -2.84188992
  3.00445472  1.98569763  1.15244444 -1.09672234]
Sun Aug 25 03:49:54 2024,133,0.29162714084444474,[-2.15745645  2.21923523 -2.24901398 -0.20303545  0.47596803 -2.84997803
  2.99636661  1.99378575  1.14435632 -1.08863422]
Sun Aug 25 03:51:44 2024,134,0.28912287882546855,[-2.14908132  2.2108601  -2.25738911 -0.21141058  0.48434316 -2.84160291
  3.00474173  2.00216088  1.13598119 -1.08025909]
Sun Aug 25 03:53:35 2024,135,0.2873786080959425,[-2.1415187   2.20329748 -2.26495172 -0.2189732   0.49190577 -2.84916552
  3.01230435  2.0097235   1.1435438  -1.07269647]
Sun Aug 25 03:55:25 2024,136,0.2884946269364704,[-2.1340847   2.19586348 -2.25751772 -0.21153919  0.49933978 -2.85659952
  3.01973835  2.00228949  1.1361098  -1.08013048]
Sun Aug 25 03:57:15 2024,137,0.28579174703773214,[-2.12566937  2.18744815 -2.24910239 -0.21995452  0.49092445 -2.8481842
  3.02815368  2.01070482  1.12769447 -1.08854581]
Sun Aug 25 03:59:06 2024,138,0.28311696998330954,[-2.11825465  2.19486287 -2.24168767 -0.2125398   0.48350973 -2.85559891
  3.0355684   2.0032901   1.13510919 -1.09596052]
Sun Aug 25 04:00:56 2024,139,0.2784796144410695,[-2.11003924  2.18664746 -2.24990308 -0.20432439  0.49172514 -2.84738351
  3.02735299  1.99507469  1.14332459 -1.08774512]
Sun Aug 25 04:02:46 2024,140,0.27915118183581294,[-2.10159292  2.17820113 -2.25834941 -0.19587807  0.48327881 -2.83893718
  3.01890666  1.98662837  1.13487827 -1.09619144]
Sun Aug 25 04:04:37 2024,141,0.27481888429988166,[-2.09291569  2.16952391 -2.24967218 -0.20455529  0.47460159 -2.8476144
  3.01022944  1.97795114  1.12620104 -1.08751422]
Sun Aug 25 04:06:27 2024,142,0.2721867024877241,[-2.08486284  2.16147105 -2.25772504 -0.19650244  0.48265444 -2.83956155
  3.00217658  1.96989829  1.11814819 -1.07946136]
