Time,Iteration,Cost,Parameters
  1.32008465 -1.92879915  1.06068654  2.90827861 -0.35891095 -0.38173272
 -1.92348205  0.87812246  1.79071461  2.74028902 -1.14037488 -0.33460276
 -2.45437809 -2.20023387  3.13909359  2.45872722 -0.75400482 -2.82933337
  1.40927704 -0.00894135 -2.40158875  2.21098562  1.50957214 -0.62026155
  0.93096977 -1.53381357 -0.39060346  2.44871754 -0.02947224  0.70722452
  2.85058566  0.99549044  3.07000872  2.97643839  2.89620213 -2.82449719
  0.04127605 -0.30919481  1.45467402  2.79000626 -0.43928538 -2.32607184
  2.41928889 -3.07669699  0.71469287 -0.61369625 -1.84444235  2.67043847
 -1.84628508 -1.65527613 -2.53583583  2.15656758 -2.23420389  2.1685861
  2.2186434   1.70001278  2.35877132  2.88562273  1.62817223  1.69116037
 -1.93379246 -2.19792867  1.26657287]
Sat Nov 23 17:49:48 2024,1302,0.027412510608115954,[-3.00737286  2.34338001 -2.19854582 -0.1707759   0.59343964 -2.78704367
  3.13854327  2.1226396   0.99152756 -0.9740359   0.65527434  0.9255481
  1.31492579 -1.93395801  1.05552768  2.90311975 -0.36406981 -0.37657386
 -1.91832319  0.8729636   1.78555575  2.74544788 -1.13521602 -0.33976162
 -2.44921923 -2.19507501  3.13393473  2.45356836 -0.74884597 -2.83449223
  1.4144359  -0.00378249 -2.39642989  2.21614448  1.514731   -0.61510269
  0.92581091 -1.53897243 -0.39576232  2.4538764  -0.0346311   0.71238338
  2.8454268   1.0006493   3.06484986  2.98159725  2.90136099 -2.82965605
  0.03611719 -0.31435367  1.44951516  2.79516512 -0.43412652 -2.32091298
  2.42444774 -3.08185585  0.71985173 -0.60853739 -1.84960121  2.67559733
 -1.84112622 -1.66043499 -2.53067697  2.15140872 -2.22904503  2.17374496
  2.22380226  1.70517164  2.36393018  2.89078159  1.62301337  1.68600151
 -1.93895132 -2.19276981  1.26141401]
Sat Nov 23 18:00:41 2024,1303,0.026526745523408737,[-3.00452088  2.34052804 -2.19569385 -0.17362788  0.59629161 -2.7841917
  3.14139525  2.12549157  0.98867559 -0.97688787  0.65812632  0.92269612
  1.31207382 -1.93110604  1.05267571  2.90597172 -0.36121783 -0.37372188
 -1.91547121  0.87581557  1.78270378  2.74259591 -1.13806799 -0.33690965
